fromuser,count,category
JimAxelrod,11174,journalist
netanyahu,10451,politician
Sia,6552,celebrity
ianbremmer,6067,academic
joosonrise,5955,troll
troyesivan,5472,celebrity
RMac18,5291,journalist
JeremyLRedmon,5122,journalist
jeremycorbyn,4952,politician
andyburnhammp,4791,politician
elonmusk,4634,business
kirkfranklin,4283,celebrity
Ed_Miliband,4212,politician
JuddLegum,3996,activist
billyeichner,3849,celebrity
jk_rowling,3529,celebrity
AltStateDpt,3519,activist
Rosie,3465,celebrity
verge,3192,news_org
jessica_goudeau,3179,academic
embeedub,3119,journalist
maddow,3085,journalist
Christiana1987,3039,journalist
jackieaina,3015,celebrity
Ashton5SOS,3013,celebrity
dandrezner,2888,academic
rosiejpt,2699,troll
palestyria,2503,activist
BeauWillimon,2409,celebrity
ananavarro,2192,journalist
HillaryClinton,2037,politician
RogueNASA,1993,activist
KeithOlbermann,1977,journalist
Law_Mana,1841,business
IssaRae,1830,celebrity
Phillipasoo,1774,celebrity
timothycsimons,1773,celebrity
susanrkandel,1718,academic
jonfavs,1718,celebrity
jessetyler,1703,celebrity
benjancewicz,1702,activist
JustinElliott,1640,journalist
peterdaou,1590,politician
kurteichenwald,1581,journalist
derrekord,1573,troll
missmarkie1205,1506,user
DATcass_,1461,user
NotAltWorld,1413,activist
attn,1387,news_org
operationgodiva,1357,troll
glumkid,1354,troll
JackAllTimeLow,1348,celebrity
agebhard,1329,business
lindseywasson,1293,journalist
bennydiego,1287,activist
apblake,1274,journalist
HaroldItz,1251,journalist
cnnbrk,1243,news_org
iampayalghosh,1230,celebrity
zackwhittaker,1223,journalist
mattwigham,1211,business
Phil_Lewis_,1210,journalist
daisycallcway,1145,troll
danpfeiffer,1130,politician
Miami4Trump,1116,activist
greggutfeld,1102,academic
mcuban,1083,business
justinamash,1075,politician
OmarFadel_,1075,user
GovHowardDean,1063,politician
mer__edith,1061,business
CuntryCounselor,1059,business
hondanhon,1042,business
SenSasse,1033,politician
BBCBreaking,1008,news_org
Kate_Beckman,1001,journalist
alanferrier,993,business
rcallimachi,988,journalist
michaelwhudson,975,journalist
juliareinstein,944,journalist
IgnatiusPost,936,academic
ZachLowe_NBA,927,celebrity
MsBlaireWhite,926,celebrity
MrTommyCampbell,926,celebrity
JackieVimo,914,academic
TimFullerton,910,politician
mequemequeJ,909,troll
anneapplebaum,903,journalist
rosannecash,882,celebrity
DennyVonDoom,878,celebrity
NYCMayorsOffice,876,politician
PaulBegala,859,journalist
mcgregor_ewan,851,celebrity
KennethBaer,850,politician
Zulfadhli_787,847,user
JoshButler,843,journalist
Lvl62Charizard,834,user
FrankLuntz,819,business
robreiner,810,celebrity
EricRMurphy,805,user