st,week,cnt,rate
AL,-2.0,204,3.629279102415232e-06
AL,-1.0,2103,3.7413597805780554e-05
AL,1.0,49415,0.0008791217002247485
AL,2.0,23908,0.0004253372783359969
AL,4.0,6939,0.00012344886123362398
AL,5.0,2988,5.315826450008193e-05
AR,-1.0,3209,4.723185907673505e-05
AR,1.0,499,7.344561445712306e-06
AZ,-4.0,9819,0.00012809006352974942
AZ,-3.0,7330,9.562075218179684e-05
AZ,-2.0,2645,3.4504350548547425e-05
AZ,-1.0,40427,0.000527375190784925
AZ,0.0,2650,3.4569576163951104e-05
AZ,1.0,168500,0.002198103239104061
AZ,2.0,51396,0.0006704671458575212
AZ,3.0,25065,0.0003269760100186545
AZ,4.0,16883,0.00022024081297207038
AZ,5.0,10257,0.00013380382743911188
CA,-5.0,14112,0.0029017333909074085
CA,-4.0,43377,0.008919252359508975
CA,-3.0,70232,0.014441223037854955
CA,-2.0,44608,0.009172372668764008
CA,-1.0,329700,0.06779347356733083
CA,0.0,67443,0.013867744124360003
CA,1.0,1167398,0.2400423580696235
CA,2.0,412324,0.08478276067690663
CA,3.0,330785,0.06801657310879444
CA,4.0,570821,0.11737318281825099
CA,5.0,118093,0.024282483087615405
CO,-5.0,1586,0.002137771703235233
CO,-2.0,28158,0.03795420909186487
CO,-1.0,17718,0.023882117930593857
CO,0.0,4241,0.005716450058903293
CO,1.0,180755,0.24363992699765735
CO,2.0,69289,0.09339474372349689
CO,3.0,51355,0.06922147907922156
CO,4.0,47987,0.0646817469881142
CO,5.0,7746,0.010440844648966024
CT,-4.0,5094,0.0007349513516742218
CT,-3.0,4624,0.0006671407636712999
CT,-2.0,80,1.1542227745178197e-05
CT,-1.0,6654,0.0009600247927051966
CT,0.0,19495,0.002812696623653112
CT,1.0,23647,0.0034117382436278606
CT,2.0,2072,0.00029894369860011534
CT,3.0,8851,0.001277003222157153
CT,4.0,4280,0.0006175091843670336
CT,5.0,3712,0.0005355593673762684
DC,-5.0,1986,0.0006646034733395621
DC,-4.0,27237,0.009114705339048165
DC,-3.0,35936,0.012025775638434294
DC,-2.0,39593,0.013249569647499137
DC,-1.0,111980,0.03747346271126091
DC,0.0,36353,0.012165322289180817
DC,1.0,365725,0.1223877670126442
DC,2.0,131108,0.04387453785629573
DC,3.0,109265,0.03656490358229973
DC,4.0,54109,0.01810726552816232
DC,5.0,17657,0.005908813458588444
DE,-5.0,4069,0.00010366874490780475
DE,-3.0,2743,6.988532004967029e-05
DE,-2.0,381,9.707002165120082e-06
DE,-1.0,1371,3.4929921176849424e-05
DE,0.0,622,1.5847126894238033e-05
DE,1.0,19717,0.0005023437314689571
DE,2.0,16276,0.000414674979631219
DE,3.0,6918,0.0001762547007304481
DE,4.0,7445,0.00018968144650739895
FL,-5.0,12895,0.0023273883706386284
FL,-4.0,21296,0.0038436651990011814
FL,-3.0,22379,0.004039133334356097
FL,-2.0,24908,0.004495586625503448
FL,-1.0,63426,0.011447610298264882
FL,0.0,42696,0.007706101114601542
FL,1.0,280430,0.0506141543837294
FL,2.0,112371,0.02028157879775365
FL,3.0,57560,0.010388869687007325
FL,4.0,116410,0.021010568454908316
FL,5.0,18696,0.0033743972840216984
GA,-5.0,7786,0.002177017893711421
GA,-4.0,21408,0.005985820584199089
GA,-3.0,1570,0.00043898254471191
GA,-2.0,9271,0.0025922338675312853
GA,-1.0,20650,0.0057738786931853135
GA,0.0,5592,0.0015635607579802552
GA,1.0,45700,0.012778026938429483
GA,2.0,11465,0.003205691003262451
GA,3.0,22413,0.006266825334157987
GA,4.0,8553,0.00239147624517259
GA,5.0,7704,0.0021540901429685064
IA,-4.0,8362,0.00040567736792332046
IA,-3.0,321,1.5573120677276475e-05
IA,-2.0,11290,0.0005477275154095059
IA,0.0,691,3.352344669158269e-05
IA,1.0,27604,0.0013391913494565102
IA,2.0,6475,0.0003141307052503588
IA,3.0,12797,0.0006208387081218287
IA,4.0,20957,0.0010167161683292307
IA,5.0,1064,5.161931588978869e-05
ID,-4.0,3105,0.0003011530816883311
ID,1.0,3276,0.00031773832386826817
ID,2.0,695,6.74078556436039e-05
ID,4.0,3896,0.0003778719504855839
IL,-4.0,18464,0.012924930541798472
IL,-3.0,29509,0.02065650863073717
IL,-2.0,30361,0.02125291465443801
IL,-1.0,27300,0.01911019301294943
IL,0.0,11832,0.008282483653084895
IL,1.0,313403,0.2193843157815894
IL,2.0,58165,0.04071591123070343
IL,3.0,122780,0.08594686806336745
IL,4.0,71993,0.050395608995650855
IL,5.0,4177,0.0029239295316882703
IN,-4.0,4889,0.002904690043608969
IN,-3.0,3045,0.0018091186710552894
IN,-1.0,33856,0.020114785460508336
IN,0.0,14549,0.00864396306902575
IN,1.0,119828,0.07119312713143292
IN,2.0,32476,0.019294889314020226
IN,3.0,48629,0.028891833121427807
IN,4.0,35980,0.02137671257292917
IN,5.0,12236,0.007269745832194589
KS,-4.0,10591,0.0008273224024080229
KS,-3.0,8873,0.0006931197881754685
KS,-2.0,2503,0.00019552336637024658
KS,-1.0,12135,0.0009479329008801208
KS,0.0,1943,0.0001517786259917655
KS,1.0,77560,0.006058646542419627
KS,2.0,11137,0.000869973524277042
KS,3.0,7728,0.0006036774172230386
KS,4.0,4766,0.0003722989868640013
KS,5.0,118,9.217641722608508e-06
KY,-1.0,15310,0.002308137745921825
KY,1.0,29593,0.004461444827894486
KY,2.0,33888,0.005108959629901947
KY,3.0,14510,0.002187529633790051
KY,4.0,30502,0.004598485795304213
LA,-5.0,1472,0.000469583464792246
LA,-3.0,9236,0.002946381033166565
LA,-2.0,2772,0.0008842971225571372
LA,-1.0,4586,0.0014629821803921468
LA,0.0,939,0.00029955086510864064
LA,1.0,39868,0.012718310852131293
LA,2.0,30788,0.009821695457896514
LA,3.0,10566,0.0033706650061106464
LA,4.0,6396,0.0020403911962032645
MA,-5.0,9892,0.0034024825189377457
MA,-4.0,9837,0.0033835645510301867
MA,-3.0,14604,0.005023236424036276
MA,-2.0,14694,0.0050541930987941
MA,-1.0,51690,0.01777945020257704
MA,0.0,36074,0.012408123169041675
MA,1.0,340794,0.11722054463797717
MA,2.0,78249,0.026914764923610966
MA,3.0,31405,0.010802159675216328
MA,4.0,54941,0.018897674087440225
MA,5.0,16354,0.005625171766549524
MD,-4.0,5258,0.0011850418776400314
MD,-3.0,16943,0.003818593482855658
MD,-2.0,11438,0.0025778830346988735
MD,-1.0,57794,0.01302554398560821
MD,0.0,26145,0.005892529458139714
MD,1.0,120490,0.027155894986087364
MD,2.0,67926,0.0153090822709351
MD,3.0,64206,0.01447067303076376
MD,4.0,32350,0.0072910050858986325
MD,5.0,7851,0.0017694491786519372
ME,1.0,3555,0.0007593450707504551
MI,-4.0,18014,0.013529315896082477
MI,-3.0,26779,0.020112221071455126
MI,-2.0,6053,0.0045460724502602
MI,-1.0,51305,0.038532338850256
MI,0.0,28521,0.021420540616862903
MI,1.0,139468,0.10474667644025928
MI,2.0,32501,0.024409697787197544
MI,3.0,64732,0.048616613555302036
MI,4.0,32974,0.02476494184286797
MI,5.0,6456,0.004848743389869461
MN,-4.0,2956,0.0004913198769971712
MN,-3.0,3178,0.0005282187310882984
MN,-1.0,9960,0.0016554621024667882
MN,1.0,33259,0.005528013460436035
MN,2.0,192,3.19125224571911e-05
MN,3.0,17391,0.002890576448192762
MN,4.0,14543,0.002417207365077761
MN,5.0,5395,0.0008967086388361769
MO,-4.0,3363,0.000493703627202233
MO,-2.0,1571,0.00023062991327228908
MO,-1.0,1491,0.00021888555104327372
MO,0.0,5533,0.0008122694526642747
MO,1.0,41762,0.006130850692601742
MO,3.0,733,0.00010760771892335321
MO,4.0,5445,0.0007993506542123578
MS,-2.0,2278,0.0004126847479833158
MS,-1.0,1802,0.0003264521140763543
MS,0.0,3220,0.0005833384058412102
MS,1.0,8935,0.0016186734957115568
MS,2.0,6194,0.0011221112067641168
MS,4.0,4731,0.0008570726701971321
MT,0.0,926,0.0003098310116082906
NC,-5.0,3699,0.0006070901033973412
NC,-1.0,20789,0.0034119481372066308
NC,0.0,25208,0.004137206630559658
NC,1.0,132772,0.021790907598883965
NC,2.0,32240,0.005291317905793533
NC,3.0,101982,0.01673756770064008
NC,4.0,33855,0.005556376169374692
NC,5.0,2626,0.0004309863778106023
ND,-2.0,1762,0.0016901354410466946
ND,4.0,2209,0.0021189041936845337
NE,-4.0,386,0.00020239985402041618
NE,-3.0,4328,0.0022693952544050808
NE,-2.0,1386,0.0007267518074411834
NE,1.0,9957,0.00522097240021058
NH,-3.0,795,0.0002704028287877314
NH,-2.0,5287,0.0017982638437745106
NH,1.0,2203,0.000749304945684745
NJ,-5.0,2790,0.0020902086088125894
NJ,-4.0,15762,0.011808554871721874
NJ,-3.0,9410,0.007049771687787264
NJ,-2.0,16364,0.01225956045684918
NJ,-1.0,21859,0.016376297483883293
NJ,0.0,11927,0.00893545450799561
NJ,1.0,57413,0.04301259744005634
NJ,2.0,47333,0.03546087601466892
NJ,3.0,36208,0.027126262834367823
NJ,4.0,32830,0.024595537142407635
NJ,5.0,5715,0.004281556343858046
NM,-2.0,1432,0.00016009893935570686
NM,0.0,925,0.00010341586515644472
NM,1.0,17437,0.0019494729089004612
NM,2.0,4799,0.0005365326885251656
NM,4.0,3814,0.00042640876725046507
NV,-3.0,5482,0.002634291439513891
NV,-2.0,5622,0.0027015663029819584
NV,-1.0,23963,0.011515053952037828
NV,0.0,1482,0.0007121524832833978
NV,1.0,67777,0.03256920300910854
NV,2.0,36912,0.017737498288094993
NV,3.0,20634,0.009915353805715
NV,4.0,42747,0.020541418490496226
NV,5.0,7470,0.0035895945007604463
NY,-5.0,16290,0.0008250069168397586
NY,-4.0,33529,0.0016980759309220543
NY,-3.0,43970,0.002226860290573615
NY,-2.0,67428,0.0034148905088195974
NY,-1.0,251015,0.012712652623114303
NY,0.0,77001,0.003899715015566498
NY,1.0,926611,0.04692820652055282
NY,2.0,235808,0.011942494232421719
NY,3.0,297278,0.015055641879944123
NY,4.0,268493,0.013597825790242928
NY,5.0,70261,0.00355836777066165
OH,-5.0,2755,0.00027151449305928144
OH,-4.0,14705,0.0014492270854579794
OH,-3.0,18162,0.001789926033735996
OH,-2.0,15896,0.0015666041312777995
OH,-1.0,27360,0.00269641979314045
OH,0.0,27311,0.00269159067874484
OH,1.0,143888,0.014180645146030449
OH,2.0,48359,0.004765941695046748
OH,3.0,35257,0.003474695637673715
OH,4.0,36601,0.0036071513468104387
OH,5.0,18658,0.001838808497822168
OK,-4.0,5661,0.007468810689858989
OK,-3.0,5859,0.00773004095246137
OK,-2.0,27270,0.03597853162205522
OK,-1.0,5838,0.007702334712488389
OK,1.0,11028,0.01454973402009626
OK,2.0,5092,0.006718103521067297
OK,3.0,7557,0.00997028835599088
OR,-5.0,577,4.96798234394573e-05
OR,-4.0,18640,0.0016049079877148772
OR,-2.0,2455,0.00021137602520600982
OR,-1.0,2491,0.0002144756329076051
OR,0.0,3579,0.0003081526656669284
OR,1.0,47042,0.0040503262638456675
OR,2.0,61847,0.005325039931126717
OR,3.0,36675,0.003157725346000167
OR,4.0,21288,0.0018329013542099947
OR,5.0,9525,0.0008201045377137448
PA,-5.0,1149,0.00029284621801470653
PA,-4.0,24194,0.006166337161573377
PA,-3.0,12761,0.003252402600596754
PA,-2.0,5586,0.0014237066787033514
PA,-1.0,46283,0.011796171895887435
PA,0.0,23729,0.006047822373603979
PA,1.0,211058,0.053792460471495156
PA,2.0,57177,0.01457273125102426
PA,3.0,33806,0.00861615252063113
PA,4.0,52605,0.013407463271247727
PA,5.0,20162,0.005138699258148401
RI,-4.0,4867,0.00038070350283986667
RI,-3.0,13911,0.0010881377497442748
RI,-2.0,7410,0.0005796204964132755
RI,-1.0,13847,0.0010831315808143894
RI,1.0,8335,0.0006519752817280231
RI,3.0,5941,0.00046471327519450337
RI,4.0,3524,0.00027565217670180606
SC,-1.0,12794,0.012110644758837818
SC,0.0,402,0.00038052830960237633
SC,1.0,61997,0.05868560599606598
SC,2.0,17178,0.016260485826740348
SC,3.0,312,0.00029533540446751593
SD,-1.0,5335,0.0010753622317868207
SD,4.0,1981,0.00039930507613302564
TN,-5.0,877,0.001013340974794732
TN,-4.0,860,0.000993698105271915
TN,-3.0,6779,0.007832883087951527
TN,-2.0,14014,0.016192657264279788
TN,-1.0,6222,0.007189290245350995
TN,1.0,43396,0.05014246857718608
TN,2.0,42074,0.048614946606058786
TN,3.0,5284,0.006105466032856744
TN,4.0,11933,0.013788138942104376
TN,5.0,706,0.0008157568166534559
TX,-5.0,13496,0.002029109359913423
TX,-4.0,7444,0.0011191975455835449
TX,-3.0,22466,0.0033777393953626973
TX,-2.0,27397,0.004119110042497633
TX,-1.0,195133,0.029338040658564463
TX,0.0,69974,0.010520517068063269
TX,1.0,881424,0.13252116837969244
TX,2.0,290321,0.04364945602248258
TX,3.0,163225,0.024540706525775672
TX,4.0,259591,0.0390292329467461
TX,5.0,50799,0.007637576050255037
UT,-4.0,3650,0.001196243990512638
UT,-3.0,3458,0.0011333182792308775
UT,1.0,20246,0.006635385159429828
UT,2.0,20263,0.0066409567067829
UT,3.0,508,0.0001664909444329918
UT,4.0,3683,0.0012070593471391908
VA,-5.0,2826,0.004524539140625751
VA,-4.0,5967,0.009553405892467746
VA,-3.0,43364,0.0694275001040676
VA,-2.0,57442,0.09196694172534478
VA,-1.0,67334,0.10780442975757051
VA,0.0,8275,0.013248606294649004
VA,1.0,140722,0.2253015558907066
VA,2.0,50458,0.08078527811666458
VA,3.0,18508,0.029632048979016768
VA,4.0,12480,0.01998097964437699
VA,5.0,10551,0.016892573415690833
VT,-3.0,749,0.00010277167947310648
VT,-2.0,4730,0.0006490120746432492
VT,-1.0,3093,0.00042439626783754116
VT,1.0,15028,0.002062019758507135
VT,2.0,5991,0.0008220362239297475
VT,3.0,520,7.135016465422613e-05
VT,4.0,8790,0.0012060922063666301
VT,5.0,65,8.918770581778266e-06
WA,-4.0,5466,0.002985087668518739
WA,-3.0,7166,0.0039134903462505095
WA,-2.0,7674,0.00419091891112565
WA,-1.0,44822,0.024478155777231416
WA,0.0,5750,0.003140185527622164
WA,1.0,241092,0.13166497551747527
WA,2.0,84238,0.0460039910392758
WA,3.0,81218,0.04435471098824642
WA,4.0,90989,0.04969084190831532
WA,5.0,8102,0.004424657938225178
WI,-3.0,5383,0.0009315231017037026
WI,-1.0,11491,0.001988506773486392
WI,0.0,8649,0.0014967013387767647
WI,1.0,128678,0.022267607222929416
WI,2.0,53989,0.009342745817923314
WI,3.0,28572,0.004944357804547314
WI,4.0,60126,0.010404747912509163
WI,5.0,8708,0.0015069112334452615
WV,-1.0,4352,0.007432950584200539
WV,1.0,2540,0.0043381650928008665
WV,3.0,318,0.0005431246061065652
WY,-2.0,32,9.380568796651841e-06
WY,1.0,1930,0.0005657655555480641
WY,5.0,386,0.00011315311110961282
